N T union_alg comp_alg time
1000 16 1 3 0.3498
5000 16 1 3 1.8243
10000 16 1 3 4.5699
1000 17 1 3 0.2745
5000 17 1 3 2.0603
10000 17 1 3 5.1056
1000 18 1 3 0.2726
5000 18 1 3 2.3164
10000 18 1 3 6.3732
1000 19 1 3 0.3045
5000 19 1 3 4.1036
10000 19 1 3 4.3489
1000 0 1 4 0.5236
5000 0 1 4 3.1907
10000 0 1 4 4.6626
1000 1 1 4 0.535
5000 1 1 4 2.3901
10000 1 1 4 13.2918
1000 2 1 4 0.3177
5000 2 1 4 2.0383
10000 2 1 4 5.3001
1000 3 1 4 0.3426
5000 3 1 4 2.8757
10000 3 1 4 4.974
1000 4 1 4 0.3608
5000 4 1 4 2.6775
10000 4 1 4 4.3792
1000 5 1 4 0.3064
5000 5 1 4 3.1814
10000 5 1 4 5.9011
1000 6 1 4 0.3617
5000 6 1 4 3.4794
10000 6 1 4 5.3909
1000 7 1 4 0.2761
5000 7 1 4 1.9977
10000 7 1 4 4.7352
1000 8 1 4 0.3819
5000 8 1 4 2.1803
10000 8 1 4 5.1615
1000 9 1 4 0.4517
5000 9 1 4 2.3836
10000 9 1 4 4.2299
1000 10 1 4 0.4681
5000 10 1 4 2.5757
10000 10 1 4 4.7302
1000 11 1 4 0.4875
5000 11 1 4 2.4227
10000 11 1 4 3.9958
1000 12 1 4 0.4748
5000 12 1 4 1.8827
10000 12 1 4 5.2638
1000 13 1 4 0.33
5000 13 1 4 2.0239
10000 13 1 4 5.8345
1000 14 1 4 0.3419
5000 14 1 4 2.5172
10000 14 1 4 4.4533
1000 15 1 4 0.2642
5000 15 1 4 3.7487
10000 15 1 4 4.3541
1000 16 1 4 0.2789
5000 16 1 4 1.9387
10000 16 1 4 4.4171
1000 17 1 4 0.3239
5000 17 1 4 2.1929
10000 17 1 4 5.1101
1000 18 1 4 0.3012
5000 18 1 4 2.0361
10000 18 1 4 8.1382
1000 19 1 4 0.277
5000 19 1 4 2.9041
10000 19 1 4 5.209
1000 0 2 0 0.9849
5000 0 2 0 3.1232
10000 0 2 0 6.346
1000 1 2 0 0.5099
5000 1 2 0 3.0952
10000 1 2 0 8.7785
1000 2 2 0 0.6223
5000 2 2 0 4.1449
10000 2 2 0 6.7469
1000 3 2 0 0.4235
5000 3 2 0 2.6004
10000 3 2 0 6.9115
1000 4 2 0 0.5059
5000 4 2 0 2.9458
10000 4 2 0 6.0442
1000 5 2 0 0.712
5000 5 2 0 2.6799
10000 5 2 0 9.1099
1000 6 2 0 0.4843
5000 6 2 0 5.0529
10000 6 2 0 6.9236
1000 7 2 0 0.5888
5000 7 2 0 3.3031
10000 7 2 0 5.9809
1000 8 2 0 0.37
5000 8 2 0 2.7893
10000 8 2 0 6.5868
1000 9 2 0 0.6536
5000 9 2 0 2.471
10000 9 2 0 5.7558
1000 10 2 0 0.3804
5000 10 2 0 3.4725
10000 10 2 0 8.0329
1000 11 2 0 0.3122
5000 11 2 0 4.6401
10000 11 2 0 5.7775
1000 12 2 0 0.5983
5000 12 2 0 3.2004
10000 12 2 0 7.6392
1000 13 2 0 0.676
5000 13 2 0 2.9018
10000 13 2 0 6.6587
1000 14 2 0 0.8219
5000 14 2 0 2.3054
10000 14 2 0 8.7717
1000 15 2 0 0.3545
5000 15 2 0 2.9073
10000 15 2 0 7.8021
1000 16 2 0 0.373
5000 16 2 0 2.2926
10000 16 2 0 7.0055
1000 17 2 0 0.2884
5000 17 2 0 3.3975
10000 17 2 0 6.654
1000 18 2 0 0.3166
5000 18 2 0 3.896
10000 18 2 0 7.8571
1000 19 2 0 0.5542
5000 19 2 0 2.6989
10000 19 2 0 7.6161
1000 0 2 1 0.3663
5000 0 2 1 2.5859
10000 0 2 1 4.9967
1000 1 2 1 0.3969
5000 1 2 1 2.5503
10000 1 2 1 6.4556
1000 2 2 1 0.3974
5000 2 2 1 2.0868
10000 2 2 1 7.0916
1000 3 2 1 0.3511
5000 3 2 1 3.1765
10000 3 2 1 5.4757
1000 4 2 1 0.4679
5000 4 2 1 2.5467
10000 4 2 1 4.6267
1000 5 2 1 0.498
5000 5 2 1 2.3004
10000 5 2 1 7.2793
1000 6 2 1 0.3752
5000 6 2 1 3.655
10000 6 2 1 6.5825
1000 7 2 1 0.2952
5000 7 2 1 2.7151
10000 7 2 1 4.8733
1000 8 2 1 0.3226
5000 8 2 1 2.2571
10000 8 2 1 4.8157
1000 9 2 1 0.6882
5000 9 2 1 2.5701
10000 9 2 1 4.1555
1000 10 2 1 0.3861
5000 10 2 1 2.2384
10000 10 2 1 4.3818
1000 11 2 1 0.3168
5000 11 2 1 2.3503
10000 11 2 1 4.0941
1000 12 2 1 0.4304
5000 12 2 1 1.8782
10000 12 2 1 6.7823
1000 13 2 1 0.3353
5000 13 2 1 2.1719
10000 13 2 1 7.2548
1000 14 2 1 0.3903
5000 14 2 1 2.8259
10000 14 2 1 4.5663
1000 15 2 1 0.3452
5000 15 2 1 2.7884
10000 15 2 1 4.482
1000 16 2 1 0.7214
5000 16 2 1 2.0023
10000 16 2 1 4.44
1000 17 2 1 0.3001
5000 17 2 1 2.1574
10000 17 2 1 5.1713
1000 18 2 1 0.2728
5000 18 2 1 2.1164
